Crash_Ref_Number,Crash_Severity,Crash_Year,Crash_Month,Crash_Day_Of_Week,Crash_Hour,Crash_Nature,Crash_Type,Crash_Longitude,Crash_Latitude,Crash_Street,Crash_Street_Intersecting,State_Road_Name,Loc_Suburb,Loc_Local_Government_Area,Loc_Post_Code,Loc_Police_Division,Loc_Police_District,Loc_Police_Region,Loc_Queensland_Transport_Region,Loc_Main_Roads_Region,Loc_ABS_Statistical_Area_2,Loc_ABS_Statistical_Area_3,Loc_ABS_Statistical_Area_4,Loc_ABS_Remoteness,Loc_State_Electorate,Loc_Federal_Electorate,Crash_Controlling_Authority,Crash_Roadway_Feature,Crash_Traffic_Control,Crash_Speed_Limit,Crash_Road_Surface_Condition,Crash_Atmospheric_Condition,Crash_Lighting_Condition,Crash_Road_Horiz_Align,Crash_Road_Vert_Align,Crash_DCA_Code,Crash_DCA_Description,Crash_DCA_Group_Description,DCA_Key_Approach_Dir,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_Total,Count_Unit_Car,Count_Unit_Motorcycle_Moped,Count_Unit_Truck,Count_Unit_Bus,Count_Unit_Bicycle,Count_Unit_Pedestrian,Count_Unit_Other
365163,Medical treatment,2001,October,Saturday,12,Hit object,Single Vehicle,151.340139891797,-27.8380748503016,Gore Hwy,Unknown,Gore Highway (Toowoomba - Millmerran),Yandilla,Toowoomba Region,4352,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Level,607.0,Veh'S On Path: Temporary Object On C'Way,Other,N,0,0,1,0,1,0,1,0,0,0,0,0
365164,Medical treatment,2001,November,Thursday,17,Angle,Multi-Vehicle,151.269474378771,-27.8790746820076,Gore Hwy,Millmerran - Inglewood Rd,Gore Highway (Toowoomba - Millmerran),Millmerran,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - T-Junction,Give way sign,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Straight,Level,102.0,Veh'S Adjacent Approach: Right-Thru,Intersection from adjacent approaches,N,0,0,1,0,1,1,0,1,0,0,0,0
365165,Hospitalisation,2001,December,Saturday,0,Hit object,Single Vehicle,151.265672239651,-27.875201768622,Florence St,Unknown,,Millmerran,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Darkness - Lighted,Straight,Level,700.0,Off Path-Straight: Other,Other,S,0,1,0,0,1,1,0,0,0,0,0,0
365166,Hospitalisation,2002,January,Thursday,7,Hit object,Single Vehicle,151.270890064246,-28.0003135700857,Frenchs Rd,Unknown,,Lavelle,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Outer Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Unsealed - Dry,Clear,Daylight,Straight,Grade,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,E,0,1,0,1,2,1,0,0,0,0,0,0
365167,Hospitalisation,2002,January,Sunday,18,Overturned,Single Vehicle,151.020946813362,-27.9559878255024,Bay Rd,Unknown,,Forest Ridge,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Outer Regional,Southern Downs,Maranoa,Locally-controlled,No Roadway Feature,No traffic control,80 - 90 km/h,Unsealed - Dry,Clear,Daylight,Straight,Grade,705.0,Off Path-Straight:Out Of Control On Cway,Out of control on straight,E,0,2,3,0,5,1,0,0,0,0,0,0
365168,Property damage only,2002,February,Saturday,22,Hit object,Single Vehicle,151.255005197703,-27.8763152206342,Gore Hwy,Saleyards Rd,Gore Highway (Millmerran - Goondiwindi),Millmerran,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,Intersection - T-Junction,Give way sign,80 - 90 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,700.0,Off Path-Straight: Other,Other,N,0,0,0,0,0,1,0,0,0,0,0,0
365169,Medical treatment,2002,February,Sunday,1,Hit object,Single Vehicle,151.380938304701,-27.8008710058385,Gore Hwy,Unknown,Gore Highway (Toowoomba - Millmerran),Pampas,Toowoomba Region,4352,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Inner Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Darkness - Not lighted,Straight,Level,704.0,Off Path-Straight:Right Off Cway Hit Obj,Off carriageway on straight hit object,W,0,0,1,0,1,1,0,0,0,0,0,0
365170,Hospitalisation,2002,March,Wednesday,12,Overturned,Single Vehicle,150.911416027932,-28.0044269097746,Gore Hwy,Unknown,Gore Highway (Toowoomba - Millmerran),Bulli Creek,Toowoomba Region,4357,Millmerran,Darling Downs,Southern,Southern,Southern Queensland,Millmerran,Darling Downs - East,Darling Downs - Maranoa,Outer Regional,Southern Downs,Maranoa,State-controlled,No Roadway Feature,No traffic control,100 - 110 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,800.0,Off Path-Curve: Other,Other,W,0,1,0,0,1,0,0,1,0,0,0,0
365171,Medical treatment,2014,November,Sunday,13,Fall from vehicle,Single Vehicle,153.17985195782,-27.9388354642393,Main Western Rd,Unknown,Tamborine Mountain Road,Tamborine Mountain,Scenic Rim Region,4272,North Tamborine,Logan,South Eastern,SEQ South,South Coast,Tamborine - Canungra,Gold Coast Hinterland,Gold Coast,Major Cities,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view open,Grade,400.0,Veh'S Manoeuvring: Other,Other,W,0,0,2,2,4,1,0,0,0,0,0,0
365172,Hospitalisation,2014,November,Sunday,12,Sideswipe,Multi-Vehicle,153.105401943527,-28.1143294581068,Lamington National Park Rd,Unknown,Lamington National Park Road,Cainbable,Scenic Rim Region,4275,Canungra,Logan,South Eastern,SEQ South,South Coast,Beaudesert,Beaudesert,Logan - Beaudesert,Inner Regional,Scenic Rim,Wright,State-controlled,No Roadway Feature,No traffic control,60 km/h,Sealed - Dry,Clear,Daylight,Curved - view obscured,Level,201.0,Veh'S Opposite Approach: Head On,Head-on,S,0,1,0,0,1,1,1,0,0,0,0,0
