Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Male_Driver,Involving_Female_Driver,Involving_Young_Driver_16-24,Involving_Senior_Driver_60plus,Involving_Provisional_Driver,Involving_Overseas_Licensed_Driver,Involving_Unlicensed_Driver,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Fatal,No,No,No,No,No,No,No,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,No,No,No,No,4,4,1,0,0,5
2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,No,2,2,0,0,0,2
2001,Brisbane,Fatal,No,Yes,No,Yes,No,No,Yes,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,Yes,Yes,No,No,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,Yes,No,No,No,No,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,Yes,No,Yes,No,No,2,2,0,1,0,3
2001,Brisbane,Fatal,Yes,No,No,No,No,No,No,8,9,0,0,0,9
2001,Brisbane,Fatal,Yes,No,No,No,No,No,Yes,5,5,3,0,0,8
2001,Brisbane,Fatal,Yes,No,No,No,Yes,No,No,2,3,0,0,0,3
2001,Brisbane,Fatal,Yes,No,No,Yes,No,No,No,2,2,0,0,0,2
2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,No,2,2,0,2,0,4
2001,Brisbane,Fatal,Yes,No,Yes,No,No,No,Yes,2,2,5,0,0,7
2001,Brisbane,Fatal,Yes,No,Yes,No,Yes,No,No,6,6,3,0,0,9
2001,Brisbane,Fatal,Yes,Yes,No,No,No,No,Yes,1,1,2,0,0,3
2001,Brisbane,Fatal,Yes,Yes,No,Yes,No,No,No,1,1,0,0,0,1
2001,Brisbane,Fatal,Yes,Yes,Yes,No,No,No,No,1,1,0,1,2,4
2001,Brisbane,Fatal,Yes,Yes,Yes,No,Yes,No,No,1,1,2,0,0,3
2001,Brisbane,Fatal,Yes,Yes,Yes,Yes,Yes,No,No,1,1,1,0,0,2
2001,Brisbane,Hospitalisation,No,No,No,No,No,No,No,25,0,25,1,0,26
2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,No,95,0,110,7,12,129
2001,Brisbane,Hospitalisation,No,Yes,No,No,No,No,Yes,2,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,No,No,No,19,0,19,0,1,20
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,No,25,0,27,2,3,32
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,No,Yes,2,0,5,0,0,5
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,No,Yes,No,2,0,2,1,0,3
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,No,47,0,53,5,2,60
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,Yes,No,Yes,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,No,No,No,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,No,Yes,Yes,Yes,Yes,No,No,1,0,2,0,0,2
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,No,263,0,289,10,10,309
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,No,Yes,20,0,27,3,0,30
2001,Brisbane,Hospitalisation,Yes,No,No,No,No,Yes,No,4,0,4,0,0,4
2001,Brisbane,Hospitalisation,Yes,No,No,No,Yes,No,No,12,0,12,0,0,12
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,No,75,0,83,6,2,91
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,No,No,Yes,3,0,4,1,0,5
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,Yes,No,No,3,0,3,0,0,3
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,No,87,0,99,13,3,115
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,No,Yes,24,0,31,4,1,36
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,No,Yes,No,4,0,5,2,0,7
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,No,93,0,117,12,12,141
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,No,Yes,2,0,3,0,0,3
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,Yes,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,No,No,No,6,0,8,1,0,9
2001,Brisbane,Hospitalisation,Yes,No,Yes,Yes,Yes,No,No,2,0,3,0,2,5
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,No,101,0,122,12,8,142
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,No,Yes,6,0,7,2,1,10
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,No,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,Yes,No,No,7,0,8,2,2,12
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,No,42,0,46,15,6,67
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,No,Yes,4,0,6,5,1,12
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,No,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,No,Yes,Yes,No,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,No,60,0,72,3,4,79
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,No,Yes,4,0,5,3,1,9
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,No,Yes,No,3,0,4,0,0,4
2001,Brisbane,Hospitalisation,Yes,Yes,Yes,No,Yes,No,No,68,0,85,13,8,106
