Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Motorcycle_Moped,Involving_Truck,Involving_Bus,Count_Crashes,Count_Casualty_Fatality,Count_Casualty_Hospitalised,Count_Casualty_MedicallyTreated,Count_Casualty_MinorInjury,Count_Casualty_All
2001,Brisbane,Fatal,No,No,No,36,38,18,1,0,57
2001,Brisbane,Fatal,No,No,Yes,1,1,1,0,0,2
2001,Brisbane,Fatal,No,Yes,No,1,1,0,1,2,4
2001,Brisbane,Fatal,Yes,No,No,5,5,0,2,0,7
2001,Brisbane,Fatal,Yes,Yes,No,1,1,0,0,0,1
2001,Brisbane,Hospitalisation,No,No,No,872,0,1034,109,69,1212
2001,Brisbane,Hospitalisation,No,No,Yes,19,0,21,5,1,27
2001,Brisbane,Hospitalisation,No,Yes,No,73,0,83,4,4,91
2001,Brisbane,Hospitalisation,Yes,No,No,165,0,173,10,5,188
2001,Brisbane,Hospitalisation,Yes,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,Yes,No,5,0,5,0,0,5
2001,Brisbane,Medical treatment,No,No,No,1730,0,0,2070,122,2192
2001,Brisbane,Medical treatment,No,No,Yes,54,0,0,63,1,64
2001,Brisbane,Medical treatment,No,Yes,No,135,0,0,156,7,163
2001,Brisbane,Medical treatment,No,Yes,Yes,1,0,0,1,0,1
2001,Brisbane,Medical treatment,Yes,No,No,156,0,0,162,6,168
2001,Brisbane,Medical treatment,Yes,Yes,No,8,0,0,8,0,8
2001,Brisbane,Minor injury,No,No,No,1170,0,0,0,1393,1393
2001,Brisbane,Minor injury,No,No,Yes,23,0,0,0,27,27
2001,Brisbane,Minor injury,No,Yes,No,103,0,0,0,128,128
2001,Brisbane,Minor injury,Yes,No,No,87,0,0,0,93,93
2001,Brisbane,Minor injury,Yes,Yes,No,2,0,0,0,2,2
2001,Brisbane,Property damage only,No,No,No,2145,0,0,0,0,0
2001,Brisbane,Property damage only,No,No,Yes,35,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,189,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,3,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,1,0,0,0,0,0
2001,Central,Fatal,No,No,No,29,34,11,3,1,49
2001,Central,Fatal,No,Yes,No,11,11,5,5,1,22
2001,Central,Fatal,Yes,No,No,3,3,0,0,0,3
2001,Central,Hospitalisation,No,No,No,337,0,410,62,22,494
2001,Central,Hospitalisation,No,No,Yes,6,0,13,3,0,16
2001,Central,Hospitalisation,No,Yes,No,35,0,41,5,1,47
2001,Central,Hospitalisation,No,Yes,Yes,1,0,6,26,0,32
2001,Central,Hospitalisation,Yes,No,No,43,0,45,2,1,48
2001,Central,Hospitalisation,Yes,Yes,No,2,0,2,0,0,2
2001,Central,Medical treatment,No,No,No,390,0,0,479,39,518
2001,Central,Medical treatment,No,No,Yes,5,0,0,5,1,6
2001,Central,Medical treatment,No,Yes,No,23,0,0,27,1,28
2001,Central,Medical treatment,Yes,No,No,49,0,0,50,0,50
