Crash_Year,Crash_Police_Region,Crash_Severity,Involving_Drink_Driving,Involving_Driver_Speed,Involving_Fatigued_Driver,Involving_Defective_Vehicle,Count_Crashes,Count_Fatality,Count_Hospitalised,Count_Medically_Treated,Count_Minor_Injury,Count_All_Casualties
2001,Brisbane,Fatal,No,No,No,No,25,25,6,4,2,37
2001,Brisbane,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Brisbane,Fatal,No,Yes,No,No,8,8,5,0,0,13
2001,Brisbane,Fatal,Yes,No,No,No,2,2,0,0,0,2
2001,Brisbane,Fatal,Yes,No,No,Yes,1,1,3,0,0,4
2001,Brisbane,Fatal,Yes,Yes,No,No,7,9,5,0,0,14
2001,Brisbane,Hospitalisation,No,No,No,No,978,0,1116,101,69,1286
2001,Brisbane,Hospitalisation,No,No,No,Yes,13,0,14,1,0,15
2001,Brisbane,Hospitalisation,No,No,Yes,No,22,0,29,2,0,31
2001,Brisbane,Hospitalisation,No,Yes,No,No,38,0,49,9,8,66
2001,Brisbane,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,No,Yes,Yes,No,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,No,No,No,66,0,86,13,2,101
2001,Brisbane,Hospitalisation,Yes,No,No,Yes,1,0,1,0,0,1
2001,Brisbane,Hospitalisation,Yes,No,Yes,No,5,0,5,0,0,5
2001,Brisbane,Hospitalisation,Yes,Yes,No,No,10,0,15,2,0,17
2001,Brisbane,Medical treatment,No,No,No,No,1946,0,0,2289,129,2418
2001,Brisbane,Medical treatment,No,No,No,Yes,25,0,0,29,0,29
2001,Brisbane,Medical treatment,No,No,Yes,No,9,0,0,10,1,11
2001,Brisbane,Medical treatment,No,Yes,No,No,41,0,0,53,3,56
2001,Brisbane,Medical treatment,No,Yes,No,Yes,1,0,0,4,0,4
2001,Brisbane,Medical treatment,Yes,No,No,No,53,0,0,62,2,64
2001,Brisbane,Medical treatment,Yes,No,No,Yes,2,0,0,2,1,3
2001,Brisbane,Medical treatment,Yes,Yes,No,No,7,0,0,11,0,11
2001,Brisbane,Minor injury,No,No,No,No,1299,0,0,0,1547,1547
2001,Brisbane,Minor injury,No,No,No,Yes,19,0,0,0,20,20
2001,Brisbane,Minor injury,No,No,Yes,No,7,0,0,0,7,7
2001,Brisbane,Minor injury,No,Yes,No,No,26,0,0,0,31,31
2001,Brisbane,Minor injury,No,Yes,No,Yes,3,0,0,0,3,3
2001,Brisbane,Minor injury,Yes,No,No,No,27,0,0,0,30,30
2001,Brisbane,Minor injury,Yes,No,No,Yes,1,0,0,0,2,2
2001,Brisbane,Minor injury,Yes,No,Yes,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,No,1,0,0,0,1,1
2001,Brisbane,Minor injury,Yes,Yes,No,Yes,1,0,0,0,1,1
2001,Brisbane,Property damage only,No,No,No,No,2023,0,0,0,0,0
2001,Brisbane,Property damage only,No,No,No,Yes,56,0,0,0,0,0
2001,Brisbane,Property damage only,No,No,Yes,No,22,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,No,89,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,No,Yes,5,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,No,Yes,Yes,Yes,1,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,No,No,159,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,No,Yes,No,2,0,0,0,0,0
2001,Brisbane,Property damage only,Yes,Yes,No,No,15,0,0,0,0,0
2001,Central,Fatal,No,No,No,No,25,26,10,8,1,45
2001,Central,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Central,Fatal,No,No,Yes,No,5,8,2,0,0,10
2001,Central,Fatal,No,Yes,No,No,3,4,0,0,0,4
2001,Central,Fatal,Yes,No,No,No,7,7,3,0,1,11
2001,Central,Fatal,Yes,Yes,No,No,2,2,1,0,0,3
2001,Central,Hospitalisation,No,No,No,No,305,0,358,79,19,456
2001,Central,Hospitalisation,No,No,No,Yes,23,0,36,3,2,41
2001,Central,Hospitalisation,No,No,Yes,No,29,0,36,4,1,41
2001,Central,Hospitalisation,No,Yes,No,No,18,0,23,4,1,28
2001,Central,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,No,No,No,43,0,53,6,1,60
2001,Central,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Central,Hospitalisation,Yes,Yes,No,No,4,0,9,2,0,11
2001,Central,Medical treatment,No,No,No,No,397,0,0,482,36,518
2001,Central,Medical treatment,No,No,No,Yes,20,0,0,23,0,23
2001,Central,Medical treatment,No,No,Yes,No,6,0,0,6,0,6
2001,Central,Medical treatment,No,Yes,No,No,21,0,0,24,3,27
2001,Central,Medical treatment,Yes,No,No,No,18,0,0,20,1,21
2001,Central,Medical treatment,Yes,Yes,No,No,4,0,0,5,1,6
2001,Central,Medical treatment,Yes,Yes,Yes,No,1,0,0,1,0,1
2001,Central,Minor injury,No,No,No,No,213,0,0,0,245,245
2001,Central,Minor injury,No,No,No,Yes,5,0,0,0,5,5
2001,Central,Minor injury,No,No,Yes,No,13,0,0,0,16,16
2001,Central,Minor injury,No,Yes,No,No,6,0,0,0,7,7
2001,Central,Minor injury,Yes,No,No,No,11,0,0,0,16,16
2001,Central,Minor injury,Yes,Yes,No,No,1,0,0,0,1,1
2001,Central,Property damage only,No,No,No,No,673,0,0,0,0,0
2001,Central,Property damage only,No,No,No,Yes,30,0,0,0,0,0
2001,Central,Property damage only,No,No,Yes,No,25,0,0,0,0,0
2001,Central,Property damage only,No,No,Yes,Yes,1,0,0,0,0,0
2001,Central,Property damage only,No,Yes,No,No,39,0,0,0,0,0
2001,Central,Property damage only,No,Yes,No,Yes,2,0,0,0,0,0
2001,Central,Property damage only,Yes,No,No,No,41,0,0,0,0,0
2001,Central,Property damage only,Yes,No,Yes,No,1,0,0,0,0,0
2001,Central,Property damage only,Yes,Yes,No,No,7,0,0,0,0,0
2001,Far Northern,Fatal,No,No,No,No,20,25,17,3,0,45
2001,Far Northern,Fatal,No,No,No,Yes,1,1,0,0,0,1
2001,Far Northern,Fatal,No,Yes,No,No,2,2,1,0,0,3
2001,Far Northern,Fatal,Yes,Yes,No,No,1,1,0,0,0,1
2001,Far Northern,Hospitalisation,No,No,No,No,224,0,270,45,22,337
2001,Far Northern,Hospitalisation,No,No,No,Yes,9,0,9,2,1,12
2001,Far Northern,Hospitalisation,No,No,Yes,No,12,0,22,3,1,26
2001,Far Northern,Hospitalisation,No,Yes,No,No,22,0,36,4,1,41
2001,Far Northern,Hospitalisation,No,Yes,No,Yes,1,0,1,0,0,1
2001,Far Northern,Hospitalisation,Yes,No,No,No,16,0,17,1,2,20
2001,Far Northern,Hospitalisation,Yes,No,No,Yes,1,0,3,2,1,6
2001,Far Northern,Hospitalisation,Yes,No,Yes,No,1,0,1,0,0,1
2001,Far Northern,Hospitalisation,Yes,Yes,No,No,2,0,5,0,0,5
2001,Far Northern,Medical treatment,No,No,No,No,228,0,0,265,13,278
2001,Far Northern,Medical treatment,No,No,No,Yes,11,0,0,22,1,23
2001,Far Northern,Medical treatment,No,No,Yes,No,5,0,0,5,2,7
2001,Far Northern,Medical treatment,No,Yes,No,No,9,0,0,10,1,11
2001,Far Northern,Medical treatment,No,Yes,No,Yes,1,0,0,1,1,2
2001,Far Northern,Medical treatment,Yes,No,No,No,13,0,0,13,0,13
2001,Far Northern,Medical treatment,Yes,No,No,Yes,1,0,0,1,0,1
2001,Far Northern,Medical treatment,Yes,Yes,No,No,2,0,0,3,0,3
2001,Far Northern,Minor injury,No,No,No,No,141,0,0,0,167,167
2001,Far Northern,Minor injury,No,No,No,Yes,4,0,0,0,4,4
